ClassName,Changes,TotalCommits
SimpleCharStream,2,1380
JsonReader2,3,489
JsonReader,62,485
JsonReaderV2,2,490
JsonScope,3,1069
JsonSyntaxException,2,1034
JsonToken,3,1069
JsonWriter,18,1069
MalformedJsonException,5,1025
Streams,10,1060
StringPool,3,828
StringUnmarshaller,3,1359
SyntheticFieldExclusionStrategy,6,1153
TestCharacters,2,1269
Token,2,1380
TokenMgrError,2,1380
TreeTypeAdapter,15,637
TypeAdapterFactory,2,571
TypeAdapter,21,640
TypeAdapterNotRequired,1,1380
TypeInfoArray,3,1380
TypeInfoCollection,2,1337
TypeInfoFactory,7,1380
TypeInfo,2,1380
TypeInfoMap,5,1380
Types,5,961
TypeUtils,5,1380
UnsafeAllocator,5,890
UpperCamelCaseSeparatorNamingPolicy,4,1097
UpperCaseNamingPolicy,4,1380
VersionConstants,1,1380
VersionExclusionStrategy,10,1380
CamelCaseSeparatorNamingPolicyTest,3,1380
CommentsTest,1,1065
MoreAsserts,2,1380
TestTypes,10,1380
DefaultConstructorAllocatorTest,4,897
DefaultDateTypeAdapterTest,8,1380
DefaultInetAddressTypeAdapterTest,2,956
DefaultMapJsonSerializerTest,6,1380
DisjunctionExclusionStrategyTest,10,1380
EscaperTest,6,1380
ExclusionStrategy2AdapterTest,2,944
ExposeAnnotationBasedExclusionStrategyTest,7,1380
ExposeAnnotationDeserializationExclusionStrategyTest,4,1170
ExposeAnnotationExclusionStrategyTest,8,944
ExposeAnnotationSerializationExclusionStrategyTest,4,1170
FieldAttributesTest,8,1153
FieldNamingStrategy2AdapterTest,6,1118
AdaptAnnotationOnClassesTest,2,398
AdaptAnnotationOnFieldsTest,2,398
ArrayTest,17,1380
CircularReferenceTest,4,1173
CollectionTest,25,1380
ConcurrencyTest,8,1346
CustomDeserializerTest,9,1312
CustomSerializerTest,3,1152
CustomTypeAdaptersTest,25,1380
DefaultTypeAdaptersTest,37,1380
DelegateTypeAdapterTest,4,525
EnumTest,14,1252
EscapingTest,4,1380
ExclusionStrategyFunctionalTest,10,1136
ExposeFieldsTest,8,1380
FieldExclusionTest,3,1274
FieldNamingTest,2,632
GsonFieldTypeAdapterTest,2,408
InheritanceTest,6,1181
InstanceCreatorTest,8,1138
InterceptorTest,4,459
InterfaceTest,2,1176
InternationalizationTest,2,1380
JavaUtilConcurrentAtomicTest,1,252
JavaUtilConcurrentLocksTest,4,258
JavaUtilTest,2,251
JsonAdapterAnnotationOnClassesTest,11,397
JsonAdapterAnnotationOnFieldsTest,12,397
JsonAdapterAnnotationTest,2,407
JsonAdapterSerializerDeserializerTest,2,111
JsonArrayTest,3,333
JsonParserTest,7,1243
JsonTreeTest,8,1214
LeniencyTest,1,202
MapAsArrayTypeAdapterTest,6,952
MapTest,47,1343
MoreSpecificTypeSerializationTest,3,835
NamingPolicyTest,18,1380
NullObjectAndFieldTest,19,1380
ObjectTest,35,1380
ParameterizedTypesTest,13,1380
PrettyPrintingTest,9,1265
PrimitiveCharacterTest,1,715
PrimitiveTest,35,1380
PrintFormattingTest,4,1380
RawSerializationTest,3,803
ReadersWritersTest,7,1380
RuntimeTypeAdapterFactoryFunctionalTest,4,368
SecurityTest,2,1232
SerializedNameTest,2,291
StreamingTypeAdaptersTest,9,640
StringTest,7,1362
SystemOnlyTypeAdaptersTest,2,800
ThrowableFunctionalTest,2,364
TreeTypeAdaptersTest,2,619
TypeAdapterPrecedenceTest,7,639
TypeHierarchyAdapterTest,6,946
TypeVariableTest,7,1018
UncategorizedTest,3,1380
VersioningTest,6,1380
FunctionalWithInternalDependenciesTest,3,1380
FunctionWithInternalDependenciesTest,20,1265
GenericArrayTypeTest,4,957
GsonBuilderTest,5,1380
GsonTest,2,129
GsonTypeAdapterTest,3,1380
InnerClassExclusionStrategyTest,11,1274
JsonElementReaderTest,6,694
JsonElementWriterTest,8,690
JsonTreeReaderTest,1,58
JsonTreeWriterTest,2,564
MiniGsonTest,2,780
RecursiveTypesResolveTest,2,31
GsonTypesTest,4,408
LazilyParsedNumberTest,2,299
LinkedHashTreeMap,2,419
LinkedHashTreeMapTest,8,462
LinkedTreeMapTest,11,423
ParameterizedTypeHandlerMapTest,4,725
StringMapTest,2,501
TypeMapTest,2,637
UnsafeAllocatorInstantiationTest,1,137
JavaFieldNamingPolicyTest,6,1380
JavaSerializationTest,1,492
JsonArrayTest,10,929
JsonDeserializerExceptionWrapperTest,2,1380
JsonEscapingVisitorTest,2,1380
JsonFieldNameValidatorTest,4,1380
JsonNullTest,6,929
JsonObjectTest,18,1317
