ClassName,Changes,TotalCommits
SnappyDecompressor,3,541
GzipUtils,8,1465
JarTestCase,10,1856
BZip2Constants,10,1858
ExceptionMessageTest,7,1312
ZipConstants,6,1132
CpioArchiveOutputStreamTest,5,945
CpioConstants,9,1729
Pack200UtilsTest,5,979
SevenZMethodConfigurationTest,2,402
CpioUtil,8,1619
Bzip2Uncompress,9,1855
Bzip2Compress,9,1855
UnixStat,9,1860
ArArchiveOutputStreamTest,5,1037
ArchiveUtilsTest,7,1468
CharsetNames,4,845
ExtraFieldUtilsTest,8,1692
GeneralPurposeBitTest,6,1287
LocalFileHeader,3,658
MemoryArchiveEntry,8,1858
TarTestSuite,8,1860
CountingStreamTest,4,957
JarArchiveOutputStreamTest,7,1689
GzipParameters,2,498
DumpArchiveConstants,4,1016
DumpArchiveException,4,1016
Zip64RequiredException,4,1036
NioZipEncoding,6,1661
CharsetsTest,3,845
JarMarker,6,1727
ZipEightByteIntegerTest,4,1160
ChainingTestCase,4,1166
BzipTestCase,6,1855
CBZip2InputStream,6,1856
AsiExtraFieldTestCase,6,1860
ExtraFieldUtilsTestCase,6,1860
ZipEntryTestCase,6,1860
DumpArchiveEntryTest,3,947
InMemoryCachingStreamBridge,3,981
Pack200Strategy,3,981
TempFileCachingStreamBridge,3,981
StreamBridge,3,981
ZipEncoding,5,1661
BZip2UtilsTestCase,4,1333
SubStreamsInfo,2,677
StreamMap,2,677
StartHeader,2,677
BindPair,2,677
ArchiveException,5,1858
CompressorOutputStream,5,1858
MemoryArchiveTestCase,5,1858
ZipShortTestCase,5,1860
TarEntry,5,1860
ZipLongTestCase,5,1860
TarArchiveSparseEntry,3,1148
ZipShortTest,4,1692
ZipLongTest,4,1692
CBZip2OutputStream,4,1856
CompressorException,4,1858
MemoryArchiveInputStream,4,1858
CpioUtilTest,2,945
DumpArchiveUtilTest,2,948
GzipUtilsTestCase,3,1465
StreamMode,2,984
StreamSwitcher,2,984
TempFileStreamSwitcher,2,984
InMemoryStreamSwitcher,2,984
UnsupportedCompressionAlgorithmException,2,1016
InvalidFormatException,2,1016
Zip64Mode,2,1036
DeflaterInflaterTest,2,1067
SevenZArchiveEntryTest,1,553
TestZipEncodings,3,1661
ZipArchiveOutputStreamTest,3,1692
AsiExtraFieldTest,3,1692
TarReadTest,2,1213
TarReadTests,2,1218
ChangeWorkerTest,3,1858
DeleteChange,3,1858
MainHeader,1,658
NID,1,677
Coder,1,677
Rand,2,1414
Simple8BitZipEnoding,2,1661
CompressUtils,2,1858
ChangeWorker,2,1858
ReflectionUtils,2,1858
ShortFileException,1,1016
UnrecognizedFormatException,1,1016
