ClassName,Changes,TotalCommits,Insertions,Deletions
ParameterizedTypeHandlerMapTest,10,1233,0,217
TestTypes,10,1233,95,26
FieldNamingPolicy,10,1233,114,9
InstanceCreatorTest,8,991,63,13
PrettyPrintingTest,9,1118,43,32
TypeVariableTest,7,871,76,16
DefaultConstructorAllocator,6,750,0,89
AdaptAnnotationOnClassesTest,2,251,0,182
AdaptAnnotationTypeAdapterFactory,2,251,0,59
Adapt,2,251,0,93
AdaptAnnotationOnFieldsTest,2,251,0,146
FieldAttributesTest,8,1006,11,6
MetaDataMap,7,899,0,99
CustomDeserializerTest,9,1165,124,17
ProtoTypeAdapter,7,907,371,34
JsonAdapterAnnotationTest,2,260,0,182
JsonNullTest,6,782,10,2
GsonFieldTypeAdapterTest,2,261,0,188
FieldTypeAdapterFactory,2,261,0,60
ExposeAnnotationSerializationExclusionStrategy,6,789,0,38
ExposeAnnotationDeserializationExclusionStrategy,6,789,0,38
JsonWriterTest,7,922,159,5
TypeHierarchyAdapterTest,6,799,37,2
JsonTreeTest,8,1067,21,8
ExampleClient,7,938,0,65
MapAsArrayTypeAdapterTest,6,805,45,6
Cart,7,940,0,34
GraphAdapterBuilderTest,3,403,100,2
RuntimeTypeAdapter,5,677,0,102
RuntimeTypeAdapterTest,5,677,0,57
RequestReceiver,9,1230,0,201
HeaderMapSpec,9,1230,0,160
ResponseSender,9,1230,0,146
ResponseBodyGsonConverter,9,1230,0,227
WebServiceResponse,9,1230,0,284
RestResponseReceiver,7,959,0,193
RestResponseSender,7,959,0,147
JsonDeserializerExceptionWrapper,9,1233,0,66
MemoryRefStack,9,1233,0,82
LruCacheTest,7,972,0,73
FieldNamingStrategy2,7,974,0,39
GraphTypeAdapterFactoryTest,3,418,0,49
WebServiceCallServerBuilder,7,977,0,56
RestDispatcher,6,841,0,104
ExcludedTypeAdapterFactory,4,578,0,79
ParseBenchmark,3,443,47,37
JsonSyntaxException,6,887,7,33
IdTest,6,894,0,98
ConcurrencyTest,8,1199,48,7
RestResource,6,901,0,53
HasId,6,901,0,58
Repository,6,901,0,96
GsonCompatibleMapTypeAdapter,4,603,0,104
MixedStreamTest,6,911,146,1
ResponseBodySpec,8,1230,0,139
WebServiceCallSpecProvider,8,1230,0,86
RequestBodyGsonConverter,8,1230,0,227
RequestBodySpecProvider,8,1230,0,82
RequestSpecProvider,8,1230,0,82
RequestBodySpec,8,1230,0,140
ContentBodySpec,8,1230,0,142
CallPath,8,1230,0,128
JsonTreeNavigator,8,1233,0,102
JsonFieldNameValidator,8,1233,0,68
SerializedNameAnnotationInterceptingNamingPolicy,8,1233,0,53
ExposeFieldsTest,8,1233,63,28
JsonSerializationContext,8,1233,2,1
MappedObjectConstructorTest,5,785,0,89
RestResponse,6,959,0,186
RestCall,6,959,0,94
DefaultDateTypeAdapter,3,481,9,9
MapAsArrayTypeAdapter,5,805,0,168
WebServiceClientAsync,6,966,0,70
ResponseBuilder,6,967,0,60
FieldNamingStrategy2AdapterTest,6,971,0,45
ParameterizedTypeTest,5,810,3,2
SyntheticFieldExclusionStrategy,6,1006,0,44
PrimitiveTypeAdapter,7,1176,4,7
ProcedureDispatcher,5,841,0,78
ResourceDepotClient,5,848,0,96
JsonReaderV2,2,343,0,1362
RestClientStub,5,858,0,130
InheritanceTest,6,1034,76,35
StringTest,7,1215,72,47
WebServiceCallServerProvider,7,1218,0,114
MalformedJsonException,5,878,17,2
CallPathProvider,7,1230,0,44
ContentBody,7,1230,0,127
RequestSpec,7,1230,0,160
ResponseSpec,7,1230,0,157
WebServiceRequest,7,1230,0,229
ReadersWritersTest,7,1233,53,1
JsonParserConstants,7,1233,0,51
InnerClassExclusionStrategy,7,1233,0,39
TypeInfoFactory,7,1233,0,124
ExposeAnnotationBasedExclusionStrategyTest,7,1233,0,58
DelegatingJsonElementVisitor,7,1233,0,111
JsonParserTokenManager,7,1233,0,789
NullExclusionStrategyTest,7,1233,0,44
StringMapTest,2,354,0,67
JsonParserJavaccTokenManager,6,1076,0,1226
OverrideCoreTypeAdaptersTest,2,366,2,0
RuntimeTypeAdapterFactoryTest,3,552,31,11
DefaultConstructorAllocatorTest,4,750,0,66
AnonymousAndLocalClassExclusionStrategy,6,1127,0,39
SampleJsonService,5,940,0,23
LineItem,5,940,1,39
RestResponseSpec,5,959,0,94
RestRequestSpec,5,959,0,94
TypedKey,5,960,0,19
GenericArrayTypeTest,4,810,4,3
JsonStreamParserTest,5,1022,50,6
WebServiceSystemException,6,1230,0,72
CallPathMap,6,1230,0,156
WebServiceCall,6,1230,0,145
ParamMapSpec,6,1230,0,80
HttpMethod,6,1230,0,64
WebServiceSpec,6,1230,0,80
JsonCompactFormatter,6,1233,0,133
FieldNamingStrategy,6,1233,4,1
MemoryRefStackTest,6,1233,0,86
DefaultDateTypeAdapterTest,6,1233,117,5
DefaultMapJsonSerializerTest,6,1233,20,17
EscaperTest,6,1233,0,141
TypeInfoFactoryTest,6,1233,0,252
CamelCaseSeparatorNamingPolicy,6,1233,0,71
VersioningTest,6,1233,71,10
JavaFieldNamingPolicyTest,6,1233,0,49
GsonInternalAccess,2,416,0,39
JsonTreeWriterTest,2,417,1,0
ResponseBuilderMap,4,841,0,57
ResourceQueryClient,4,846,0,83
TypeAdapterFactory,2,424,2,2
JsonParserJavacc,5,1076,0,704
CallPathTest,4,862,0,33
RawSerializationTest,3,656,27,7
JsonParserImplConstants,5,1100,0,68
JsonParserImplTokenManager,5,1100,0,1172
RawCollectionsExample,3,668,4,6
StringPool,3,681,0,60
MoreSpecificTypeSerializationTest,3,688,77,2
TypedKeys,4,940,0,26
TreeTypeAdaptersTest,2,472,2,0
UpperCamelCaseSeparatorNamingPolicy,4,950,0,45
GsonExclusionStrategy,2,479,0,132
package-info,3,720,0,9
$Gson$Preconditions,3,724,4,6
QueueConsumer,4,966,0,59
QueueEntry,4,966,0,38
ResponseCallback,4,966,0,33
FieldNamingTest,2,485,19,10
ParameterizedTypeFixtures,2,487,4,4
TypeMap,2,490,0,180
TypeMapTest,2,490,0,118
WebServiceConfig,5,1230,0,71
NullExclusionStrategy,5,1233,0,38
JsonPrimitiveDeserializationVisitor,5,1233,0,95
GsonBuilderTest,5,1233,54,0
TypeInfoMap,5,1233,0,50
ExposeAnnotationSerializationExclusionStrategyTest,4,1023,0,76
ExposeAnnotationDeserializationExclusionStrategyTest,4,1023,0,76
CircularReferenceTest,4,1026,8,13
JsonParserAsyncTest,4,1063,0,19
JsonParserJavaccConstants,4,1076,0,101
JsonParserImpl,4,1100,0,668
ServicePaths,3,841,0,52
ID,3,859,0,7
IDFactory,3,859,0,20
JsonIOException,3,898,1,0
FunctionalTest,3,907,0,54
InterceptorFactory,1,307,0,0
JsonScope,3,922,10,9
JsonToken,3,922,3,2
Util,4,1230,0,150
WebServiceAppException,4,1230,0,74
PrintFormattingTest,4,1233,30,2
EscapingTest,4,1233,43,1
ModifierBasedExclusionStrategy,4,1233,0,60
SerializedName,4,1233,30,12
JsonFieldNameValidatorTest,4,1233,0,97
JsonEscapingVisitor,4,1233,0,62
LowerCaseNamingPolicy,4,1233,0,47
UpperCaseNamingPolicy,4,1233,0,47
MockExclusionStrategy,4,1233,5,7
JavaFieldNamingPolicy,4,1233,0,50
GsonProguardExampleActivity,2,637,25,1
SingleThreadExecutor,3,966,0,37
TaskExecutor,3,966,0,29
ThreadPerTaskExecutor,3,966,0,36
SystemOnlyTypeAdaptersTest,2,653,0,77
CustomSerializerTest,3,1005,30,14
CircularReferenceException,3,1026,0,46
JavaSerializationTest,1,345,0,0
JsonParserAsync,3,1063,0,77
LongSerializationPolicy,3,1112,11,27
$LruCache,2,747,0,57
$Pair,2,747,0,61
$Preconditions,2,747,0,51
$Primitives,2,747,0,117
$Types,2,747,0,589
$UnsafeAllocator,2,747,0,104
$Cache,2,747,0,51
FieldExclusionTest,3,1127,31,20
Until,3,1155,6,3
GsonBenchmark,2,793,0,93
ExposeAnnotationExclusionStrategy,2,797,0,45
MockExclusionStrategy2,2,797,0,49
ExclusionStrategy2AdapterTest,2,797,0,47
ExclusionStrategy2Adapter,2,797,0,39
ExclusionStrategy2,2,797,0,125
Mode,2,797,0,30
StringUnmarshaller,3,1212,0,71
DefaultInetAddressTypeAdapterTest,2,809,5,5
WebServiceCallProvider,3,1230,0,57
GsonTypeAdapterTest,3,1233,48,8
CamelCaseSeparatorNamingPolicyTest,3,1233,0,79
UncategorizedTest,3,1233,21,1
TypeInfoArray,3,1233,0,72
FunctionalWithInternalDependenciesTest,3,1233,0,135
Expose,3,1233,22,4
RecursiveFieldNamingPolicy,3,1233,0,46
JsonDeserializer,3,1233,5,2
LowerCamelCaseSeparatorNamingPolicy,3,1233,0,43
JsonTreeWriter,1,417,0,0
QueryOrdersByItemName,2,844,0,37
TypedKeysQuery,2,846,0,37
ResourceQuery,2,846,0,33
ValueBasedId,2,848,0,203
ResourceDepot,2,848,0,27
Queryable,2,858,0,13
CallPathProviderTest,2,864,0,36
ServerConfig,2,867,0,38
RestServerConfig,2,867,0,38
ConnectionPreconditions,2,867,0,71
ProtosWithPrimitiveTypesTest,2,889,5,1
ProtosWithComplexAndRepeatedFieldsTest,2,889,8,2
IdTypeAdapter,2,899,0,55
JsonTreeReader,1,460,0,0
JsonReaderInternalAccess,1,466,0,0
TypedKeyTest,2,944,0,23
UpperCamelCaseSeparatorNamingPolicyTest,2,950,0,60
InterfaceTest,2,1029,1,0
SecurityTest,2,1085,6,6
LongSerializationPolicyTest,2,1112,17,1
TestCharacters,2,1122,0,12
PrimitiveCharacterTest,1,568,0,0
ObjectConstructor,1,578,0,0
TypeInfoCollection,2,1190,0,46
StringUnmarshallerTest,2,1212,0,55
ParameterizedTypeImpl,2,1233,0,92
JsonFormatter,2,1233,0,37
JsonElementVisitor,2,1233,0,42
MoreAsserts,2,1233,9,0
JsonDeserializerExceptionWrapperTest,2,1233,0,90
JsonParseException,2,1233,2,1
Since,2,1233,2,1
GenericArrayTypeImpl,2,1233,0,71
ParseException,2,1233,0,193
InternationalizationTest,2,1233,3,5
TokenMgrError,2,1233,0,134
Token,2,1233,0,82
CompositionFieldNamingPolicy,2,1233,0,45
ModifyFirstLetterNamingPolicyTest,2,1233,0,87
TypeInfoArrayTest,2,1233,0,123
TypeInfo,2,1233,0,84
JsonSerializerExceptionWrapper,2,1233,0,64
TypeInfoTest,2,1233,0,114
ExposeAnnotationBasedExclusionStrategy,2,1233,0,37
JsonEscapingVisitorTest,2,1233,0,180
JsonSerializer,2,1233,4,1
LowerCamelCaseSeparatorNamingPolicyTest,2,1233,0,53
SimpleCharStream,2,1233,0,440
CollectionsDeserializationBenchmark,1,788,0,0
BagOfPrimitivesDeserializationBenchmark,1,788,0,0
SerializationBenchmark,1,788,0,0
BagOfPrimitives,1,793,0,0
CommentsTest,1,918,0,0
PrimitiveTypeAdapterTest,1,1233,0,74
InstanceCreator,1,1233,1,0
TypeUtilsTest,1,1233,0,57
UpperCaseNamingPolicyTest,1,1233,0,53
TypeInfoMapTest,1,1233,0,66
LowerCaseNamingPolicyTest,1,1233,0,52
TypeAdapterNotRequired,1,1233,0,53
VersionConstants,1,1233,0,29
JsonSerializerExceptionWrapperTest,1,1233,0,86
