ClassName,Changes,TotalCommits,Insertions,Deletions
PageScopeContextHandler,8,258,51,0
PageScopeContext,7,258,53,0
ServletContextHandler,8,258,57,0
ServletRequestAndContext,3,58,53,0
ServletRequestHandler,8,258,72,0
Util,5,258,0,0
AbstractBeanElement,2,262,0,0
AbstractBeanNode,2,262,0,0
ArrayNodeSequence,2,262,0,0
BeanDocument,2,262,0,0
BeanElement,2,262,0,0
BeanElementList,2,262,0,0
BeanNamedNodeMap,2,262,0,0
BeanNodeFactory,2,262,0,0
BeanNodeList,2,262,0,0
CollectionNodeSequence,2,262,0,0
DOMWrapper,2,262,0,0
DynamicPropertyElementList,2,262,0,0
ElementList,2,262,0,0
JXPathException,2,262,0,0
MapDynamicPropertyHandler,2,262,0,0
NodeSequence,2,262,0,0
NodeSequencer,2,262,0,0
ProcessedBeanInfo,2,262,0,0
ProcessingIntrospector,2,262,0,0
ValueHandle,2,262,0,0
ValueNode,2,262,0,0
ValueNodeList,2,262,0,0
ValueNodeSequence,2,262,0,0
BasicTypeConverter,18,198,515,0
MethodLookupUtils,9,198,292,0
TypeConverter,6,198,43,0
TypeUtils,15,241,57,0
ValueUtils,25,241,634,0
Variables,8,262,54,0
JXPathContextFactoryXalanImpl,2,262,0,0
JXPathContextXalanImpl,3,262,0,0
DocumentContainer,11,180,175,0
XMLDocumentContainer,13,260,104,0
DOMParser,8,180,51,0
JDOMParser,10,162,50,0
XMLParser2,5,84,122,0
XMLParser,6,180,35,0
JXPathTestCase,38,142,357,0
JXPathTest,3,151,0,0
JXPathTestSuite,9,142,95,0
NestedTestBean,10,262,79,0
RecursiveAxesTest,3,104,63,0
RecursiveBean,5,104,60,0
SimplePathInterpreterTest,8,168,650,0
TestBeanWithNode,7,142,65,0
ContextDependencyTest,7,142,56,0
CoreFunctionTest,13,142,187,0
CoreOperationTest,7,142,97,0
ExtensionFunctionTest,19,142,382,0
TestFunctions2,8,142,29,0
TestFunctions,12,142,152,0
VariableFactory,7,142,77,0
VariableTest,7,142,269,0
JXPathCompiledExpressionTest,7,124,493,0
BeanModelTestCase,21,142,967,0
BeanModelTest,9,142,70,0
DynamicPropertiesModelTest,3,142,0,0
TestBeanFactory,10,142,69,0
TestIndexedPropertyBean,6,100,34,0
ContainerModelTest,3,63,169,0
DOMModelTest,15,161,151,0
TestDOMFactory,8,142,86,0
DynaBeanModelTest,7,142,52,0
TestDynaBeanFactory,10,142,72,0
DynamicPropertiesModelTest,10,137,372,0
TestDynamicPropertyFactory,7,136,78,0
ExceptionPropertyTestBean,6,136,39,0
JDOMModelTest,14,161,149,0
TestJDOMFactory,8,142,92,0
MixedModelTest,12,142,564,0
TestDynamicPropertyFactory,4,142,0,0
TestMixedModelFactory,9,142,84,0
XMLModelTestCase,29,151,828,0
XMLModelTest,2,161,0,0
StressTest,5,108,92,0
TestBean,10,262,177,0
TestBeanWithDOM,3,260,0,0
TestBeanWithNode,2,168,0,0
TestFactory,7,250,0,0
TestFunctions2,2,262,0,0
TestFunctions,3,262,0,0
TestMixedModelBean,9,142,113,0
TestNull,8,262,52,0
BasicTypeConverterTest,9,142,175,0
JXPathServletContextsTestServlet,3,58,140,0
