ClassName,Changes,TotalCommits,Insertions,Deletions
VerifyingRecorderTest,31,2405,0,80
IOUtilTest,2,156,2,2
Spy,16,1252,109,32
CreationSettings,11,862,33,3
DeepStubsSerializableTest,8,629,3,66
LocalizedMatcher,23,1814,44,36
PropertyAndSetterInjection,13,1037,77,44
DefaultPluginSwitcher,2,161,0,9
InstantationException,3,244,0,8
ParentClassNotPublicVeryWeirdBugTest,14,1142,0,28
InvocationContainerImplTest,14,1147,116,58
ClassPathLoaderTest,2,165,2,1
PluginLoaderTest,2,165,0,69
InvocationBuilder,30,2487,65,54
AllInvocationsFinder,30,2488,6,60
DeepStubFailingWhenGenericNestedAsRawTypeTest,1,83,0,0
MockitoInvocationHandler,16,1329,0,75
CreatingMocksWithConstructor,3,251,0,54
OngoingStubbingImpl,19,1590,36,20
ObjectMethodsGuru,17,1427,35,4
JUnitRule,4,337,0,28
AnswersValidator,24,2026,44,49
DefaultMockitoConfiguration,21,1778,33,19
VerificationUsingMatchersTest,30,2549,32,167
MockingDetails,11,941,30,33
ReturnsEmptyValues,18,1551,31,146
ReturnsElementsOf,14,1207,22,26
DefaultAnnotationEngine,20,1748,75,11
LastArguments,29,2542,0,251
DescriptiveMessagesOnVerificationInOrderErrorsTest,26,2280,88,43
MockitoSampleTest,29,2546,0,348
NoMoreInteractionsVerificationTest,29,2546,56,121
MissingInvocationVerifierTest,27,2371,0,15
AnswersValidatorTest,23,2026,134,71
ArgumentMatcher,26,2310,39,53
DefaultInjectionEngine,14,1249,15,82
MockInjectionTest,14,1249,5,204
NumberOfInvocationsInOrderChecker,21,1884,14,71
Timer,4,359,0,14
PointingStackTraceToActualInvocationTest,26,2334,16,169
MockCreationValidator,14,1257,40,10
SmartPrinter,17,1533,11,43
SmartNullReturnValues,20,1826,0,31
NotifiedMethodInvocationReport,11,1005,77,72
InvocationListenerCallbackTest,11,1018,90,46
StrictOrderVerifier,27,2506,0,56
ReleaseNotesServices,3,279,0,66
VerificationModeImpl,25,2341,0,192
GlobalConfiguration,19,1780,57,29
NumberOfInvocationsCheckerTest,20,1884,28,180
NiceMessagesWhenVerificationFailsTest,27,2548,0,338
PointingStackTraceToActualInvocationChunkInOrderTest,24,2269,17,137
AnnotationsTest,24,2271,10,155
ModellingDescriptiveMessagesTest,18,1704,170,6
BDDMockitoTest,19,1804,168,19
MockSettingsInfo,10,951,0,39
DebuggingInfo,19,1807,0,43
ClassImposterizerTest,20,1909,11,79
MockHandlerImpl,9,860,130,243
ReturnValues,24,2295,18,51
Captor,13,1252,37,26
MatchersBinder,25,2408,25,79
VerificationInOrderMixedWithOrdiraryVerificationTest,26,2506,10,57
VerboseMockitoJUnitRunnerTest,18,1746,0,693
PointingStackTraceToActualInvocationChunkTest,24,2331,0,257
Equals,26,2542,43,25
MockitoMethod,14,1370,5,1
Mock,20,1972,65,7
ClassCacheVersusClassReloadingTest,10,987,48,74
NoMoreInvocationsVerifierTest,24,2371,0,15
MissingInvocationChecker,19,1884,13,59
VerificationWithTimeout,12,1193,121,52
InvocationImpl,9,898,10,9
Exceptions,25,2499,0,12
StubbedInvocationMatcher,24,2410,49,46
VerboseMockInvocationLoggerTest,10,1006,67,46
InvocationsFinderStub,23,2325,6,41
StackTrackeFilteringTest,25,2528,0,194
MatchersToStringTest,25,2548,1,453
InstantiatorProvider,3,306,9,3
MethodsImpl,14,1429,52,7
Instantiator,3,307,2,1
StubInfo,13,1336,9,8
StubbingWithDelegate,9,931,0,56
VerificationWithTimeoutTest,19,1979,213,11
WarningsPrinterImpl,14,1465,19,52
NumberOfInvocationsChecker,18,1884,13,63
MissingInvocationCheckerTest,18,1884,17,114
DeepStubbingTest,12,1256,311,209
MissingInvocationInOrderCheckerTest,18,1884,35,96
StackTraceFilterTest,21,2207,1,154
WarningsFinder,12,1269,15,7
ComparableMatchersTest,24,2548,7,241
ReplacingObjectMethodsTest,24,2556,31,217
MockitoStubber,19,2024,0,94
ReturningDefaultValuesTest,24,2559,42,145
VoidMethodStubbable,22,2346,14,26
StubbingUsingDoReturnTest,19,2027,170,69
ClassLoadersTest,6,643,154,15
MocksSerializationForAnnotationTest,7,753,103,56
Only,13,1422,11,16
FilteredCGLIBProxyRealMethod,14,1540,0,26
MockFactory,23,2534,0,178
StackTrackeChangingTest,22,2429,0,94
MockHandlerInterface,12,1327,0,24
ConsoleSpammingMockitoJUnitRunner,14,1549,34,37
EqualsTest,23,2549,86,33
ImprovementSetProvider,2,223,0,8
MakesMocksNotToReturnNulls,19,2122,0,123
AdditionalMatchers,21,2349,283,189
InjectTestCase,3,337,0,44
BaseStubbing,14,1590,39,15
ResetTest,15,1706,16,97
MethodProxyBuilder,13,1492,0,24
StubberTest,21,2412,0,137
WarningsFinderTest,11,1266,12,15
OnlyTest,10,1161,5,65
AtLeastXNumberOfInvocationsInOrderChecker,16,1862,17,74
AtLeastXNumberOfInvocationsChecker,16,1862,11,65
MockitoMethodProxy,12,1399,0,45
Fields,8,933,58,18
StackTraceFilteringTest,20,2334,11,154
NumberOfInvocationsInOrderCheckerTest,16,1884,21,104
GenericMaster,10,1182,12,3
ArrayUtils,11,1304,4,25
VerificationWithTimeoutImpl,10,1193,0,58
ReturnsMocks,13,1551,9,43
AtLeastXVerificationTest,12,1433,3,1
ThrowsException,17,2037,6,29
MockingProgressImplTest,20,2402,47,62
ArgumentCaptorTest,15,1802,18,107
ExperimentalMockitoJUnitRunner,15,1807,0,176
NoMoreInteractionsTest,10,1209,61,7
DetectingMisusedMatchersTest,15,1814,57,15
InOrderContextImpl,10,1211,6,4
MockitoJUnit44Runner,16,1938,26,19
MockitoJUnitRunner,16,1938,50,23
InvocationMarkerTest,12,1458,11,4
SmartNullsStubbingTest,15,1826,102,11
SmartNullReturnValuesTest,15,1826,0,54
JUnitDetecter,1,122,0,0
LenientCopyToolTest,13,1587,33,168
MockCreationSettings,7,862,30,2
NewOngoingStubbing,16,1971,0,216
VerificationModeImplTest,19,2341,0,89
SpyingOnRealObjectsTest,16,1982,22,152
NoMoreInvocationsVerifier,19,2371,0,27
LocationTest,12,1503,0,34
FilteredCGLIBProxyRealMethodTest,12,1503,0,94
MissingInvocationInOrderChecker,15,1884,31,51
SerializableMockitoMethodProxy,11,1384,11,37
VerificationModeFactory,15,1890,21,13
LoggingListener,10,1265,10,6
ArgumentMatchingTool,12,1526,39,2
VerboseLoggingOfInvocationsOnMockTest,8,1018,158,93
StackTraceRemoverTest,19,2427,0,288
SmartPrinterTest,12,1533,15,33
CGLIBProxyRealMethod,12,1540,0,17
