ClassName,Changes,TotalCommits,Insertions,Deletions
FieldNamingPolicy,10,1244,135,30
ParameterizedTypeHandlerMapTest,10,1244,89,306
JsonDeserializationContext,10,1244,130,129
InstanceCreatorTest,8,1002,67,17
PrettyPrintingTest,9,1129,54,43
TypeVariableTest,7,882,94,34
DefaultConstructorAllocator,6,761,15,104
FieldAttributesTest,8,1017,19,14
MetaDataMap,7,910,14,113
CustomDeserializerTest,9,1176,163,56
AdaptAnnotationOnClassesTest,2,262,0,182
AdaptAnnotationOnFieldsTest,2,262,0,146
AdaptAnnotationTypeAdapterFactory,2,262,0,59
Adapt,2,262,0,93
ProtoTypeAdapter,7,918,457,120
JsonNullTest,6,793,11,3
JsonWriterTest,7,933,159,5
ExposeAnnotationDeserializationExclusionStrategy,6,800,1,39
ExposeAnnotationSerializationExclusionStrategy,6,800,1,39
JsonTreeTest,8,1078,24,11
TypeHierarchyAdapterTest,6,810,58,23
JsonAdapterAnnotationTest,2,271,0,182
ExampleClient,7,949,23,88
Cart,7,951,43,77
GsonFieldTypeAdapterTest,2,272,0,188
MapAsArrayTypeAdapterTest,6,816,56,17
FieldTypeAdapterFactory,2,272,0,60
RuntimeTypeAdapter,5,688,128,230
RuntimeTypeAdapterTest,5,688,143,200
HeaderMapSpec,9,1241,10,170
ResponseBodyGsonConverter,9,1241,6,233
RequestReceiver,9,1241,26,227
WebServiceResponse,9,1241,47,331
ResponseSender,9,1241,12,158
GraphAdapterBuilderTest,3,414,100,2
MemoryRefStack,9,1244,21,103
JsonDeserializerExceptionWrapper,9,1244,15,81
RestResponseReceiver,7,970,34,227
RestResponseSender,7,970,11,158
LruCacheTest,7,983,66,139
FieldNamingStrategy2,7,985,6,45
WebServiceCallServerBuilder,7,988,10,66
RestDispatcher,6,852,18,122
GraphTypeAdapterFactoryTest,3,429,19,68
ExcludedTypeAdapterFactory,4,589,4,83
JsonSyntaxException,6,898,8,34
IdTest,6,905,25,123
ConcurrencyTest,8,1210,57,16
ParseBenchmark,3,454,48,38
RestResource,6,912,1,54
HasId,6,912,4,62
Repository,6,912,9,105
GsonCompatibleMapTypeAdapter,4,614,11,115
MixedStreamTest,6,922,156,11
RequestSpecProvider,8,1241,7,89
WebServiceCallSpecProvider,8,1241,9,95
CallPath,8,1241,92,220
ContentBodySpec,8,1241,11,153
RequestBodyGsonConverter,8,1241,4,231
ResponseBodySpec,8,1241,3,142
RequestBodySpecProvider,8,1241,7,89
RequestBodySpec,8,1241,3,143
SerializedNameAnnotationInterceptingNamingPolicy,8,1244,20,73
JsonSerializationContext,8,1244,63,62
ExposeFieldsTest,8,1244,80,45
JsonTreeNavigator,8,1244,44,146
JsonFieldNameValidator,8,1244,16,84
MappedObjectConstructorTest,5,796,15,104
RestResponse,6,970,22,208
RestCall,6,970,10,104
WebServiceClientAsync,6,977,8,78
ResponseBuilder,6,978,6,66
MapAsArrayTypeAdapter,5,816,16,184
FieldNamingStrategy2AdapterTest,6,982,3,48
DefaultDateTypeAdapter,3,492,9,9
ParameterizedTypeTest,5,821,8,7
SyntheticFieldExclusionStrategy,6,1017,7,51
PrimitiveTypeAdapter,7,1187,10,13
ProcedureDispatcher,5,852,16,94
ResourceDepotClient,5,859,15,111
RestClientStub,5,869,14,144
InheritanceTest,6,1045,97,56
StringTest,7,1226,81,56
WebServiceCallServerProvider,7,1229,12,126
JsonReaderV2,2,354,0,1362
CallPathProvider,7,1241,22,66
ContentBody,7,1241,9,136
ResponseSpec,7,1241,0,157
WebServiceRequest,7,1241,2,231
RequestSpec,7,1241,0,160
ExposeAnnotationBasedExclusionStrategyTest,7,1244,8,66
TypeInfoFactory,7,1244,78,202
DelegatingJsonElementVisitor,7,1244,38,149
ReadersWritersTest,7,1244,77,25
NullExclusionStrategyTest,7,1244,14,58
JsonParserTokenManager,7,1244,3530,4319
InnerClassExclusionStrategy,7,1244,21,60
JsonParserConstants,7,1244,216,267
MalformedJsonException,5,889,17,2
JsonParserJavaccTokenManager,6,1087,8,1234
StringMapTest,2,365,0,67
RuntimeTypeAdapterFactoryTest,3,563,31,11
OverrideCoreTypeAdaptersTest,2,377,2,0
AnonymousAndLocalClassExclusionStrategy,6,1138,10,49
LineItem,5,951,16,54
SampleJsonService,5,951,19,42
DefaultConstructorAllocatorTest,4,761,4,70
RestResponseSpec,5,970,9,103
RestRequestSpec,5,970,9,103
TypedKey,5,971,53,72
GenericArrayTypeTest,4,821,8,7
JsonStreamParserTest,5,1033,53,9
HttpMethod,6,1241,14,78
CallPathMap,6,1241,3,159
ParamMapSpec,6,1241,3,83
WebServiceSystemException,6,1241,3,75
WebServiceSpec,6,1241,0,80
WebServiceCall,6,1241,0,145
