ClassName,Changes,TotalCommits,Insertions,Deletions
HttpSessionHandler,9,414,52,62
JXPathServletContexts,9,414,114,105
KeywordVariables,9,414,28,66
PageContextHandler,9,414,49,70
PageScopeContextHandler,9,414,32,64
PageScopeContext,7,414,22,61
ServletContextHandler,9,414,37,63
ServletRequestAndContext,5,214,24,17
ServletRequestHandler,9,414,52,63
Util,5,414,0,77
AbstractBeanElement,2,418,0,209
AbstractBeanNode,2,418,0,335
ArrayNodeSequence,2,418,0,103
BeanDocument,2,418,0,386
BeanElement,2,418,0,155
BeanElementList,2,418,0,108
BeanNamedNodeMap,2,418,0,139
BeanNodeFactory,2,418,0,191
BeanNodeList,2,418,0,105
CollectionNodeSequence,2,418,0,124
DOMWrapper,2,418,0,172
DynamicPropertyElementList,2,418,0,128
ElementList,2,418,0,268
JXPathException,2,418,0,90
MapDynamicPropertyHandler,2,418,0,103
NodeSequence,2,418,0,210
NodeSequencer,2,418,0,100
ProcessedBeanInfo,2,418,0,210
ProcessingIntrospector,2,418,0,92
ValueHandle,2,418,0,204
ValueNode,2,418,0,215
ValueNodeList,2,418,0,158
ValueNodeSequence,2,418,0,109
BasicTypeConverter,21,354,370,295
JXPath11CompatibleTypeConverter,1,142,0,0
KeyManagerUtils,2,103,2,1
MethodLookupUtils,11,354,139,123
ReverseComparator,3,151,17,1
TypeConverter,7,354,21,60
TypeUtils,17,397,68,484
ValueUtils,29,397,448,203
Variables,8,418,27,68
JXPathContextFactoryXalanImpl,2,418,0,86
JXPathContextXalanImpl,3,418,0,421
DocumentContainer,13,336,95,91
XMLDocumentContainer,16,416,57,85
DOMParser,9,336,29,63
JDOMParser,11,318,27,63
XMLParser2,6,240,28,73
XMLParser,6,336,15,60
BasicNodeSetTest,4,40,64,8
JXPathTestCase,39,298,92,178
JXPathTest,3,307,0,1682
JXPathTestSuite,16,298,38,66
NestedTestBean,10,418,36,71
RecursiveAxesTest,3,260,16,0
RecursiveBean,5,260,15,61
SimplePathInterpreterTest,8,324,230,157
TestBeanWithNode,7,298,23,68
ContextDependencyTest,7,298,27,73
CoreFunctionTest,18,298,191,125
CoreOperationTest,12,298,110,113
ExtensionFunctionTest,23,298,319,204
TestFunctions2,8,298,16,62
TestFunctions,13,298,83,75
VariableFactory,7,298,34,72
VariableTest,10,298,166,204
JXPathCompiledExpressionTest,7,280,36,60
BeanModelTestCase,22,298,615,487
BadlyImplementedFactoryTest,2,145,1,1
BeanModelTest,9,298,35,90
DynamicPropertiesModelTest,3,298,0,346
TestBeanFactory,10,298,31,75
TestIndexedPropertyBean,6,256,15,69
ContainerModelTest,4,219,7,7
DOMModelTest,16,317,120,92
TestDOMFactory,8,298,43,71
DynaBeanModelTest,7,298,26,74
TestDynaBeanFactory,10,298,34,73
DynamicPropertiesModelTest,11,293,261,219
TestDynamicPropertyFactory,7,292,32,70
EmbeddedColonMapKeysTest,1,44,0,0
EmptyCollectionTest,1,59,0,0
ExceptionPropertyTestBean,6,292,20,57
ExternalXMLNamespaceTest,2,83,17,4
JDOMModelTest,15,317,115,93
TestJDOMFactory,8,298,44,71
MixedModelTest,12,298,388,311
TestDynamicPropertyFactory,4,298,0,121
TestMixedModelFactory,9,298,39,75
XMLModelTestCase,38,307,782,402
XMLModelTest,2,317,0,478
XMLPreserveSpaceTest,2,126,1,1
XMLSpaceTest,1,128,0,0
StressTest,5,264,13,59
TestBean,11,418,67,90
TestBeanWithDOM,3,416,0,94
TestBeanWithNode,2,324,0,108
TestFactory,7,406,0,148
TestFunctions2,2,418,0,75
TestFunctions,3,418,0,107
TestMixedModelBean,9,298,42,71
TestNull,8,418,21,68
BasicTypeConverterTest,9,298,123,101
JXPathServletContextsTestServlet,3,214,7,6
