ClassName,Changes,TotalCommits
ReflectionToStringBuilder,3,1011
StandardToStringStyle,3,1011
ToStringBuilder,3,1011
ToStringStyle,3,1011
CharEncoding,3,1011
CharRange,3,1011
CharSet,3,1011
CharSetUtils,3,1011
CharUtils,3,1011
ClassUtils,3,1011
BackgroundInitializer,3,1011
CallableBackgroundInitializer,3,1011
ConcurrentException,3,1011
ConcurrentUtils,3,1011
LazyInitializer,3,1011
MultiBackgroundInitializer,3,1011
EnumUtils,3,1011
ContextedException,4,1011
ContextedRuntimeException,4,1011
DefaultExceptionContext,3,1011
ExceptionContext,3,1011
ExceptionUtils,12,1011
LocaleUtils,3,1011
Fraction,3,1011
IEEE754rUtils,3,1011
NumberUtils,4,1011
MutableBoolean,3,1011
MutableByte,3,1011
MutableDouble,3,1011
MutableFloat,3,1011
MutableInt,3,1011
Mutable,3,1011
MutableLong,3,1011
MutableObject,3,1011
MutableShort,3,1011
ObjectUtils,3,1011
RandomStringUtils,3,1011
Range,7,1011
ConstructorUtils,3,1011
FieldUtils,3,1011
MemberUtils,3,1011
MethodUtils,3,1011
TypeUtils,3,1011
SerializationException,3,1011
SerializationUtils,3,1011
StringEscapeUtils,3,1011
StringUtils,8,1011
SystemUtils,3,1011
CompositeFormat,3,1011
ExtendedMessageFormat,3,1011
FormatFactory,3,1011
StrBuilder,5,1011
StrLookup,4,1011
StrMatcher,3,1011
StrSubstitutor,3,1011
StrTokenizer,3,1011
AggregateTranslator,3,1011
CharSequenceTranslator,3,1011
CodePointTranslator,3,1011
EntityArrays,3,1011
LookupTranslator,3,1011
NumericEntityEscaper,3,1011
NumericEntityUnescaper,3,1011
UnicodeEscaper,3,1011
UnicodeUnescaper,3,1011
DateFormatUtils,4,1011
DateUtils,5,1011
DurationFormatUtils,4,1011
FastDateFormat,5,1011
StopWatch,3,1011
Validate,5,1011
WordUtils,4,1011
ArrayUtils,82,3095
BitField,13,2579
BooleanUtils,35,3021
CompareToBuilder,44,3167
EqualsBuilder,44,3172
HashCodeBuilder,49,3173
IDKey,5,1341
ReflectionToStringBuilder,46,2854
StandardToStringStyle,27,3157
ToStringBuilder,55,3157
ToStringStyle,56,3157
CalendarUtils,2,3015
CharacterEncoding,3,2323
CharEncoding,8,2257
CharRange,31,3255
CharSet,38,3255
CharSetUtils,46,3255
CharUtils,21,2445
ClassUtils,75,3092
BackgroundInitializer,4,1069
CallableBackgroundInitializer,3,1025
ConcurrentException,3,1148
ConcurrentUtils,4,1148
LazyInitializer,5,1156
MultiBackgroundInitializer,2,1068
DateUtils,2,3016
Entities,43,2915
Enum,49,3231
EnumUtils,20,3231
Enum,24,2401
EnumUtils,9,2401
ValuedEnum,12,2401
EnumUtils,9,1350
ValuedEnum,25,3231
ContextedException,6,1170
ContextedRuntimeException,6,1170
DefaultExceptionContext,8,1170
ExceptionContext,7,1170
ExceptionUtils,69,3228
NestableDelegate,37,3255
NestableError,20,3198
NestableException,24,3255
Nestable,18,3255
NestableRuntimeException,22,3255
ClosureException,2,3083
Closure,2,3083
ClosureUtils,2,3083
ExecutorException,3,3078
Executor,3,3078
ExecutorUtils,4,3078
FactoryException,3,3083
Factory,3,3083
FactoryUtils,4,3083
PredicateException,3,3083
Predicate,3,3083
PredicateUtils,4,3083
TransformerException,3,3083
Transformer,3,3083
TransformerUtils,5,3083
HashCodeBuilder,2,3219
