ClassName,Changes,TotalCommits
ArgumentMatcher,19,1061
BDDMockito,8,362
Captor,5,76
SerializableNoOp,2,223
AnnotationEngine,5,567
BaseReturnValues,5,945
ConfigurationSupport,4,923
DefaultMockitoConfiguration,9,567
DefaultReturnValues,11,964
ConfigurationSupport,11,919
IMockitoConfiguration,13,567
MockitoConfiguration,9,964
MockitoProperties,4,949
ReturnValues,8,964
CoolMatchers,2,1364
CrazyMatchers,10,1362
CustomMatcher,4,1120
Decamelizer,3,1003
DefaultMockitoConfiguration,8,602
EmptyValuesProvider,2,978
CommonStackTraceRemover,4,1184
ConditionalStackTraceFilter,2,479
HasStackTrace,3,1184
HasStackTraceThrowableWrapper,2,1184
MockitoAssertionError,5,1184
MockitoException,6,1184
StackTraceFilter,16,1184
ActualArgumentsAreDifferent,2,1006
BecauseThisMethodWasNotStubbed,2,618
FirstUndesiredInvocation,6,1243
ShouldBeInvokedAfter,3,1155
TooLittleInvocations,6,1244
UndesiredInvocation,6,1244
WantedAnywhereAfterFollowingInteraction,3,1092
WantedDiffersFromActual,6,1244
CommonStackTraceRemover,2,1251
Discrepancy,2,515
Exceptions,25,1323
HasFilterableStackTrace,4,1352
HasStackTrace,2,1253
InvalidUseOfMatchersException,8,1373
MissingMethodInvocationException,6,1360
InvalidUseOfMatchersException,9,1239
MissingMethodInvocationException,3,1239
MockitoConfigurationException,2,601
NotAMockException,4,1239
NullInsteadOfMockException,1,906
UnfinishedStubbingException,3,1239
UnfinishedVerificationException,3,1239
WrongTypeOfReturnValue,2,741
MockitoAssertionError,7,1353
MockitoException,6,1353
MockitoStackTraceFilter,7,1352
MockitoStackTraceMerger,2,1253
MockVerificationAssertionError,3,1388
NotAMockException,4,1388
NumberOfInvocationsAssertionError,9,1388
NumberOfInvocationsError,4,1294
CommonStackTraceRemover,5,1241
HasStackTrace,3,1241
HasStackTraceThrowableWrapper,3,1203
MockitoAssertionError,4,1241
MockitoException,4,1241
StackTraceFilter,4,1241
Pluralizer,2,515
PrintableInvocation,3,1023
Printable,5,1084
Reporter,101,1205
StackTraceFilter,2,1251
LastClassIsCglibEnchantedFilter,2,1353
LastClassIsMockitoFilter,2,1353
StackTraceFilter,2,1353
StrictVerificationError,6,1330
StringJoiner,5,1239
Strings,2,1250
TooLittleActualInvocationsError,3,1242
TooManyActualInvocationsError,3,1243
UndesiredInvocation,2,1248
UnfinishedStubbingException,5,1388
UnfinishedVerificationException,6,1359
ArgumentsAreDifferentEclipseReady,2,926
ArgumentsAreDifferentException,2,1028
ArgumentsAreDifferent,4,996
VerificationAssertionError,4,1353
VerificationError,5,1295
InvocationDiffersFromActual,2,1157
ArgumentsAreDifferent,8,788
ArgumentsAreDifferentJUnitStyle,2,795
JUnitTool,5,795
NeverWantedButInvoked,3,1040
NoInteractionsWantedError,2,1178
NoInteractionsWanted,2,1157
NumberOfInvocationsError,3,1239
SmartNullPointerException,4,650
StrictVerificationError,3,1239
StrictVerificationFailure,3,1155
TooLittleActualInvocationsError,5,1239
TooLittleActualInvocations,3,1157
TooManyActualInvocationsError,5,1239
TooManyActualInvocations,3,1157
VerifcationInOrderFailed,3,1104
