ClassName,Changes,TotalCommits
ConcurrencyTest,8,1292
JsonSyntaxException,6,980
IdTest,6,987
GraphAdapterBuilderTest,3,496
RequestBodySpecProvider,8,1323
CallPath,8,1323
RequestBodySpec,8,1323
RequestBodyGsonConverter,8,1323
RequestSpecProvider,8,1323
ContentBodySpec,8,1323
WebServiceCallSpecProvider,8,1323
ResponseBodySpec,8,1323
Repository,6,994
HasId,6,994
RestResource,6,994
ExposeFieldsTest,8,1326
JsonTreeNavigator,8,1326
JsonFieldNameValidator,8,1326
JsonSerializationContext,8,1326
SerializedNameAnnotationInterceptingNamingPolicy,8,1326
MixedStreamTest,6,1004
ExcludedTypeAdapterFactory,4,671
GraphTypeAdapterFactoryTest,3,511
AdaptAnnotationOnFieldsTest,2,344
AdaptAnnotationOnClassesTest,2,344
AdaptAnnotationTypeAdapterFactory,2,344
Adapt,2,344
GsonCompatibleMapTypeAdapter,4,696
RestCall,6,1052
RestResponse,6,1052
MappedObjectConstructorTest,5,878
JsonAdapterAnnotationTest,2,353
WebServiceClientAsync,6,1059
ResponseBuilder,6,1060
FieldTypeAdapterFactory,2,354
GsonFieldTypeAdapterTest,2,354
FieldNamingStrategy2AdapterTest,6,1064
ParseBenchmark,3,536
MapAsArrayTypeAdapter,5,898
ParameterizedTypeTest,5,903
PrimitiveTypeAdapter,7,1269
SyntheticFieldExclusionStrategy,6,1099
ProcedureDispatcher,5,934
StringTest,7,1308
WebServiceCallServerProvider,7,1311
InheritanceTest,6,1127
ResourceDepotClient,5,941
CallPathProvider,7,1323
ResponseSpec,7,1323
RequestSpec,7,1323
ContentBody,7,1323
WebServiceRequest,7,1323
ReadersWritersTest,7,1326
InnerClassExclusionStrategy,7,1326
ExposeAnnotationBasedExclusionStrategyTest,7,1326
JsonParserConstants,7,1326
DelegatingJsonElementVisitor,7,1326
TypeInfoFactory,7,1326
JsonParserTokenManager,7,1326
NullExclusionStrategyTest,7,1326
RestClientStub,5,951
MalformedJsonException,5,971
JsonParserJavaccTokenManager,6,1169
JavaUtilConcurrentAtomicTest,1,198
AnonymousAndLocalClassExclusionStrategy,6,1220
SampleJsonService,5,1033
LineItem,5,1033
RestResponseSpec,5,1052
RestRequestSpec,5,1052
TypedKey,5,1053
DefaultConstructorAllocatorTest,4,843
RuntimeTypeAdapterFactoryTest,3,645
JsonReaderV2,2,436
WebServiceSystemException,6,1323
ParamMapSpec,6,1323
HttpMethod,6,1323
WebServiceCall,6,1323
CallPathMap,6,1323
WebServiceSpec,6,1323
CamelCaseSeparatorNamingPolicy,6,1326
FieldNamingStrategy,6,1326
MemoryRefStackTest,6,1326
VersioningTest,6,1326
EscaperTest,6,1326
DefaultDateTypeAdapterTest,6,1326
DefaultMapJsonSerializerTest,6,1326
JsonCompactFormatter,6,1326
TypeInfoFactoryTest,6,1326
JavaFieldNamingPolicyTest,6,1326
JsonStreamParserTest,5,1115
StringMapTest,2,447
GenericArrayTypeTest,4,903
OverrideCoreTypeAdaptersTest,2,459
ResponseBuilderMap,4,934
JsonParserJavacc,5,1169
ResourceQueryClient,4,939
JsonParserImplConstants,5,1193
JsonParserImplTokenManager,5,1193
CallPathTest,4,955
RawSerializationTest,3,749
RawCollectionsExample,3,761
GsonInternalAccess,2,509
JsonTreeWriter,2,510
JsonTreeWriterTest,2,510
StringPool,3,774
TypedKeys,4,1033
TypeAdapterFactory,2,517
MoreSpecificTypeSerializationTest,3,781
UpperCamelCaseSeparatorNamingPolicy,4,1043
WebServiceConfig,5,1323
QueueEntry,4,1059
QueueConsumer,4,1059
ResponseCallback,4,1059
JsonPrimitiveDeserializationVisitor,5,1326
NullExclusionStrategy,5,1326
TypeInfoMap,5,1326
GsonBuilderTest,5,1326
SerializedName,5,1326
package-info,3,813
